1,1,0.0055248618784530384,LDAgent@15,(Offer  bid:Bid[Pie: a949, ])
1,2,0.0055248618784530384,PokerFace@16,(Offer  bid:Bid[Pie: a929, ])
2,1,0.011049723756906077,LDAgent@15,(Offer  bid:Bid[Pie: a922, ])
2,2,0.011049723756906077,PokerFace@16,(Offer  bid:Bid[Pie: a913, ])
3,1,0.016574585635359115,LDAgent@15,(Offer  bid:Bid[Pie: a938, ])
3,2,0.016574585635359115,PokerFace@16,(Offer  bid:Bid[Pie: a858, ])
4,1,0.022099447513812154,LDAgent@15,(Offer  bid:Bid[Pie: a920, ])
4,2,0.022099447513812154,PokerFace@16,(Offer  bid:Bid[Pie: a991, ])
5,1,0.027624309392265192,LDAgent@15,(Offer  bid:Bid[Pie: a904, ])
5,2,0.027624309392265192,PokerFace@16,(Offer  bid:Bid[Pie: a962, ])
6,1,0.03314917127071823,LDAgent@15,(Offer  bid:Bid[Pie: a989, ])
6,2,0.03314917127071823,PokerFace@16,(Offer  bid:Bid[Pie: a937, ])
7,1,0.03867403314917127,LDAgent@15,(Offer  bid:Bid[Pie: a900, ])
7,2,0.03867403314917127,PokerFace@16,(Offer  bid:Bid[Pie: a906, ])
8,1,0.04419889502762431,LDAgent@15,(Offer  bid:Bid[Pie: a938, ])
8,2,0.04419889502762431,PokerFace@16,(Offer  bid:Bid[Pie: a913, ])
9,1,0.049723756906077346,LDAgent@15,(Offer  bid:Bid[Pie: a945, ])
9,2,0.049723756906077346,PokerFace@16,(Offer  bid:Bid[Pie: a928, ])
10,1,0.055248618784530384,LDAgent@15,(Offer  bid:Bid[Pie: a982, ])
10,2,0.055248618784530384,PokerFace@16,(Offer  bid:Bid[Pie: a931, ])
11,1,0.06077348066298342,LDAgent@15,(Offer  bid:Bid[Pie: a972, ])
11,2,0.06077348066298342,PokerFace@16,(Offer  bid:Bid[Pie: a970, ])
12,1,0.06629834254143646,LDAgent@15,(Offer  bid:Bid[Pie: a906, ])
12,2,0.06629834254143646,PokerFace@16,(Offer  bid:Bid[Pie: a923, ])
13,1,0.0718232044198895,LDAgent@15,(Offer  bid:Bid[Pie: a969, ])
13,2,0.0718232044198895,PokerFace@16,(Offer  bid:Bid[Pie: a903, ])
14,1,0.07734806629834254,LDAgent@15,(Offer  bid:Bid[Pie: a984, ])
14,2,0.07734806629834254,PokerFace@16,(Offer  bid:Bid[Pie: a941, ])
15,1,0.08287292817679558,LDAgent@15,(Offer  bid:Bid[Pie: a914, ])
15,2,0.08287292817679558,PokerFace@16,(Offer  bid:Bid[Pie: a870, ])
16,1,0.08839779005524862,LDAgent@15,(Offer  bid:Bid[Pie: a955, ])
16,2,0.08839779005524862,PokerFace@16,(Offer  bid:Bid[Pie: a883, ])
17,1,0.09392265193370165,LDAgent@15,(Offer  bid:Bid[Pie: a919, ])
17,2,0.09392265193370165,PokerFace@16,(Offer  bid:Bid[Pie: a850, ])
18,1,0.09944751381215469,LDAgent@15,(Offer  bid:Bid[Pie: a960, ])
18,2,0.09944751381215469,PokerFace@16,(Offer  bid:Bid[Pie: a889, ])
19,1,0.10497237569060773,LDAgent@15,(Offer  bid:Bid[Pie: a954, ])
19,2,0.10497237569060773,PokerFace@16,(Offer  bid:Bid[Pie: a936, ])
20,1,0.11049723756906077,LDAgent@15,(Offer  bid:Bid[Pie: a978, ])
20,2,0.11049723756906077,PokerFace@16,(Offer  bid:Bid[Pie: a886, ])
21,1,0.11602209944751381,LDAgent@15,(Offer  bid:Bid[Pie: a989, ])
21,2,0.11602209944751381,PokerFace@16,(Offer  bid:Bid[Pie: a853, ])
22,1,0.12154696132596685,LDAgent@15,(Offer  bid:Bid[Pie: a932, ])
22,2,0.12154696132596685,PokerFace@16,(Offer  bid:Bid[Pie: a854, ])
23,1,0.1270718232044199,LDAgent@15,(Offer  bid:Bid[Pie: a970, ])
23,2,0.1270718232044199,PokerFace@16,(Offer  bid:Bid[Pie: a940, ])
24,1,0.13259668508287292,LDAgent@15,(Offer  bid:Bid[Pie: a1000, ])
24,2,0.13259668508287292,PokerFace@16,(Offer  bid:Bid[Pie: a885, ])
25,1,0.13812154696132597,LDAgent@15,(Offer  bid:Bid[Pie: a941, ])
25,2,0.13812154696132597,PokerFace@16,(Offer  bid:Bid[Pie: a998, ])
26,1,0.143646408839779,LDAgent@15,(Offer  bid:Bid[Pie: a972, ])
26,2,0.143646408839779,PokerFace@16,(Offer  bid:Bid[Pie: a902, ])
27,1,0.14917127071823205,LDAgent@15,(Offer  bid:Bid[Pie: a918, ])
27,2,0.14917127071823205,PokerFace@16,(Offer  bid:Bid[Pie: a895, ])
28,1,0.15469613259668508,LDAgent@15,(Offer  bid:Bid[Pie: a928, ])
28,2,0.15469613259668508,PokerFace@16,(Offer  bid:Bid[Pie: a863, ])
29,1,0.16022099447513813,LDAgent@15,(Offer  bid:Bid[Pie: a958, ])
29,2,0.16022099447513813,PokerFace@16,(Offer  bid:Bid[Pie: a915, ])
30,1,0.16574585635359115,LDAgent@15,(Offer  bid:Bid[Pie: a996, ])
30,2,0.16574585635359115,PokerFace@16,(Offer  bid:Bid[Pie: a957, ])
31,1,0.1712707182320442,LDAgent@15,(Offer  bid:Bid[Pie: a909, ])
31,2,0.1712707182320442,PokerFace@16,(Offer  bid:Bid[Pie: a883, ])
32,1,0.17679558011049723,LDAgent@15,(Offer  bid:Bid[Pie: a959, ])
